id,label,federation,domain,uri,spatial_anchor,temporal_start,temporal_end,survey_depth,is_seed,place_type,lat,lon
48210386,Tempio Grande at Vulci,pleiades,roman_republic,https://pleiades.stoa.org/places/48210386,https://pleiades.stoa.org/places/48210386,-750,300,0,False,temple-2,42.4196838,11.62832065
265876,Consabura/Consabrum,pleiades,roman_republic,https://pleiades.stoa.org/places/265876,https://pleiades.stoa.org/places/265876,-330,2099,0,False,settlement,39.460299,-3.606772
265877,Contestania (region),pleiades,roman_republic,https://pleiades.stoa.org/places/265877,https://pleiades.stoa.org/places/265877,-330,300,0,False,"region, label",38.4282302524,-0.879814039831
265878,Cueva de la Paloma,pleiades,roman_republic,https://pleiades.stoa.org/places/265878,https://pleiades.stoa.org/places/265878,-330,300,0,False,mine-2,37.241792,-2.403309
265880,Dianium/Hemeroskopeion,pleiades,roman_republic,https://pleiades.stoa.org/places/265880,https://pleiades.stoa.org/places/265880,-550,2100,0,False,settlement,38.842795,0.107511
265882,Ebura,pleiades,roman_republic,https://pleiades.stoa.org/places/265882,https://pleiades.stoa.org/places/265882,-30,300,0,False,settlement,37.463838,-3.924959
265883,Ebusus,pleiades,roman_republic,https://pleiades.stoa.org/places/265883,https://pleiades.stoa.org/places/265883,-750,640,0,False,settlement,38.908393,1.432146
265884,Ebusus (island),pleiades,roman_republic,https://pleiades.stoa.org/places/265884,https://pleiades.stoa.org/places/265884,-750,2100,0,False,island,38.9815279739,1.41221877607
265886,Edeba,pleiades,roman_republic,https://pleiades.stoa.org/places/265886,https://pleiades.stoa.org/places/265886,-30,300,0,False,settlement,38.640276,-3.362253
265887,Edeta/Leiria,pleiades,roman_republic,https://pleiades.stoa.org/places/265887,https://pleiades.stoa.org/places/265887,-550,300,0,False,settlement,39.624587,-0.594758
265888,Edetania (region),pleiades,roman_republic,https://pleiades.stoa.org/places/265888,https://pleiades.stoa.org/places/265888,-330,300,0,False,"region, label",39.6796153965,-0.626311039138
265890,Elche de la Sierra,pleiades,roman_republic,https://pleiades.stoa.org/places/265890,https://pleiades.stoa.org/places/265890,-330,2099,0,False,"settlement, settlement-modern",38.447444,-2.04839
265891,Eliocroca?,pleiades,roman_republic,https://pleiades.stoa.org/places/265891,https://pleiades.stoa.org/places/265891,-330,640,0,False,settlement,37.671353,-1.698809
265893,Epora,pleiades,roman_republic,https://pleiades.stoa.org/places/265893,https://pleiades.stoa.org/places/265893,-330,640,0,False,settlement,38.026033,-4.381896
265894,Etobesa/Etouissa?,pleiades,roman_republic,https://pleiades.stoa.org/places/265894,https://pleiades.stoa.org/places/265894,-330,300,0,False,settlement,40.0787678,0.1354228
265896,Roman Villa at El Faro (Torrox),pleiades,roman_republic,https://pleiades.stoa.org/places/265896,https://pleiades.stoa.org/places/265896,-30,2100,0,False,villa,36.7266472,-3.9576942
265897,Ferrarium/Tenebrium (promontory),pleiades,roman_republic,https://pleiades.stoa.org/places/265897,https://pleiades.stoa.org/places/265897,-30,2100,0,False,cape,38.7335803,0.2301139
265898,Ficariensis Locus?,pleiades,roman_republic,https://pleiades.stoa.org/places/265898,https://pleiades.stoa.org/places/265898,-30,300,0,False,settlement,37.599034,-1.313677
265899,Fortuna,pleiades,roman_republic,https://pleiades.stoa.org/places/265899,https://pleiades.stoa.org/places/265899,-330,300,0,False,sanctuary,38.208848,-1.143263
265900,Fraxinum?,pleiades,roman_republic,https://pleiades.stoa.org/places/265900,https://pleiades.stoa.org/places/265900,-30,640,0,False,settlement,37.727146,-3.047757
265903,Fuente de las Piedras,pleiades,roman_republic,https://pleiades.stoa.org/places/265903,https://pleiades.stoa.org/places/265903,-30,1999,0,False,villa,37.4883786695,-4.45906001186
265905,Giribaile,pleiades,roman_republic,https://pleiades.stoa.org/places/265905,https://pleiades.stoa.org/places/265905,-330,300,0,False,settlement,38.122254,-3.483153
265906,Guium?,pleiades,roman_republic,https://pleiades.stoa.org/places/265906,https://pleiades.stoa.org/places/265906,-30,300,0,False,settlement,39.339079,3.050936
265914,Hoyo de la Campana,pleiades,roman_republic,https://pleiades.stoa.org/places/265914,https://pleiades.stoa.org/places/265914,-330,300,0,False,mine-2,37.128828,-3.605316
265916,Iamo/Iamna,pleiades,roman_republic,https://pleiades.stoa.org/places/265916,https://pleiades.stoa.org/places/265916,-330,2099,0,False,"settlement, settlement-modern",40.0004404,3.8352372
265917,(I)Aspis,pleiades,roman_republic,https://pleiades.stoa.org/places/265917,https://pleiades.stoa.org/places/265917,-30,2099,0,False,settlement-modern,38.3459902,-0.7692125
265919,Igabrum/Egabrum,pleiades,roman_republic,https://pleiades.stoa.org/places/265919,https://pleiades.stoa.org/places/265919,-30,2100,0,False,settlement,37.474155,-4.425943
265920,Ildum,pleiades,roman_republic,https://pleiades.stoa.org/places/265920,https://pleiades.stoa.org/places/265920,-330,640,0,False,settlement,40.231686,0.073556
265921,Iliberri,pleiades,roman_republic,https://pleiades.stoa.org/places/265921,https://pleiades.stoa.org/places/265921,-330,2100,0,False,settlement,37.176484,-3.597934
265922,Ilici/Helike,pleiades,roman_republic,https://pleiades.stoa.org/places/265922,https://pleiades.stoa.org/places/265922,-750,2100,0,False,"settlement, archaeological-site",38.2396,-0.6953
265923,Ilicitanus Sinus,pleiades,roman_republic,https://pleiades.stoa.org/places/265923,https://pleiades.stoa.org/places/265923,-30,2100,0,False,water-open,38.3,-0.45
265924,Iliturgi,pleiades,roman_republic,https://pleiades.stoa.org/places/265924,https://pleiades.stoa.org/places/265924,-330,640,0,False,settlement,37.968343,-3.80883
265925,Iliturgicola,pleiades,roman_republic,https://pleiades.stoa.org/places/265925,https://pleiades.stoa.org/places/265925,-30,300,0,False,settlement,37.511643,-4.148005
265926,Illikitanos Limen,pleiades,roman_republic,https://pleiades.stoa.org/places/265926,https://pleiades.stoa.org/places/265926,-30,640,0,False,settlement,38.184959,-0.614465
265927,Ilorci,pleiades,roman_republic,https://pleiades.stoa.org/places/265927,https://pleiades.stoa.org/places/265927,-330,640,0,False,settlement,38.081834,-1.254941
265928,Tolmo de Minateda,pleiades,roman_republic,https://pleiades.stoa.org/places/265928,https://pleiades.stoa.org/places/265928,-550,2099,0,False,"acropolis, forum, city-wall, cistern, townhouse, city-gate, settlement, architecturalcomplex, archaeological-site",38.4767844,-1.6070951
265929,Ilugo,pleiades,roman_republic,https://pleiades.stoa.org/places/265929,https://pleiades.stoa.org/places/265929,-330,300,0,False,settlement,38.247458,-3.206444
265930,Ilurco,pleiades,roman_republic,https://pleiades.stoa.org/places/265930,https://pleiades.stoa.org/places/265930,-30,300,0,False,settlement,37.267154,-3.767231
265932,Iniesta,pleiades,roman_republic,https://pleiades.stoa.org/places/265932,https://pleiades.stoa.org/places/265932,-30,640,0,False,settlement,39.440732,-1.749431
265935,Ipolcobulcola,pleiades,roman_republic,https://pleiades.stoa.org/places/265935,https://pleiades.stoa.org/places/265935,-30,300,0,False,settlement,37.443593,-4.273434
265936,Iponuba/Hippo Nova,pleiades,roman_republic,https://pleiades.stoa.org/places/265936,https://pleiades.stoa.org/places/265936,-30,300,0,False,settlement,37.5966266,-4.3084564
265937,*Ipsca,pleiades,roman_republic,https://pleiades.stoa.org/places/265937,https://pleiades.stoa.org/places/265937,-330,300,0,False,settlement,37.67242,-4.39041
265938,Torreparedones,pleiades,roman_republic,https://pleiades.stoa.org/places/265938,https://pleiades.stoa.org/places/265938,-330,300,0,False,"settlement, archaeological-site",37.7552577014,-4.37758419156
265939,Isturgi,pleiades,roman_republic,https://pleiades.stoa.org/places/265939,https://pleiades.stoa.org/places/265939,-30,640,0,False,settlement,38.026896,-3.983804
265943,Jumilla,pleiades,roman_republic,https://pleiades.stoa.org/places/265943,https://pleiades.stoa.org/places/265943,-330,640,0,False,settlement,38.4555288,-1.3248629
265945,El Laderón,pleiades,roman_republic,https://pleiades.stoa.org/places/265945,https://pleiades.stoa.org/places/265945,-330,300,0,False,settlement,37.540948,-4.373006
265946,Laminium,pleiades,roman_republic,https://pleiades.stoa.org/places/265946,https://pleiades.stoa.org/places/265946,-330,640,0,False,settlement,38.899451,-3.053453
265948,Letrania,pleiades,roman_republic,https://pleiades.stoa.org/places/265948,https://pleiades.stoa.org/places/265948,-30,640,0,False,villa,37.786162,-3.612398
265949,Libisosa,pleiades,roman_republic,https://pleiades.stoa.org/places/265949,https://pleiades.stoa.org/places/265949,-330,640,0,False,settlement,38.9418966911,-2.35501311079
265950,Linares,pleiades,roman_republic,https://pleiades.stoa.org/places/265950,https://pleiades.stoa.org/places/265950,-330,640,0,False,mine-2,38.093632,-3.636489
265951,Lobetanoi,pleiades,roman_republic,https://pleiades.stoa.org/places/265951,https://pleiades.stoa.org/places/265951,-30,300,0,False,people,40.4072825,-1.4442792
265952,Longuntica,pleiades,roman_republic,https://pleiades.stoa.org/places/265952,https://pleiades.stoa.org/places/265952,-330,-30,0,False,settlement,37.403784,-1.581155
265954,Lucentum,pleiades,roman_republic,https://pleiades.stoa.org/places/265954,https://pleiades.stoa.org/places/265954,-330,750,0,False,settlement,38.3646181732,-0.438803462827
265955,Luque,pleiades,roman_republic,https://pleiades.stoa.org/places/265955,https://pleiades.stoa.org/places/265955,-330,300,0,False,quarry,37.559338,-4.276541
265957,Macael,pleiades,roman_republic,https://pleiades.stoa.org/places/265957,https://pleiades.stoa.org/places/265957,-330,300,0,False,quarry,37.332285,-2.304901
265958,Maenuba (river),pleiades,roman_republic,https://pleiades.stoa.org/places/265958,https://pleiades.stoa.org/places/265958,-30,2099,0,False,river,36.7762137108,-4.11921265059
265959,Maenuba/Menova,pleiades,roman_republic,https://pleiades.stoa.org/places/265959,https://pleiades.stoa.org/places/265959,-550,640,0,False,settlement,36.77864,-4.100678
265960,Mago,pleiades,roman_republic,https://pleiades.stoa.org/places/265960,https://pleiades.stoa.org/places/265960,-330,2100,0,False,"settlement, settlement-modern",39.8894325,4.2647291
265961,Mainake,pleiades,roman_republic,https://pleiades.stoa.org/places/265961,https://pleiades.stoa.org/places/265961,-750,-30,0,False,settlement,36.741931,-4.094288
265963,Malaca,pleiades,roman_republic,https://pleiades.stoa.org/places/265963,https://pleiades.stoa.org/places/265963,-750,2100,0,False,settlement,36.719658,-4.420163
265964,Malaca (river),pleiades,roman_republic,https://pleiades.stoa.org/places/265964,https://pleiades.stoa.org/places/265964,-30,2100,0,False,"canal, river",36.7721695895,-4.4332391119
265965,Mariana,pleiades,roman_republic,https://pleiades.stoa.org/places/265965,https://pleiades.stoa.org/places/265965,-30,640,0,False,settlement,38.547361,-2.92748
265966,Marianus (mountain range),pleiades,roman_republic,https://pleiades.stoa.org/places/265966,https://pleiades.stoa.org/places/265966,-330,1599,0,False,"mountain, label",38.4197222,-4.2380556
265967,Marruca,pleiades,roman_republic,https://pleiades.stoa.org/places/265967,https://pleiades.stoa.org/places/265967,-30,300,0,False,settlement,37.595765,-4.602629
265969,Mentesa,pleiades,roman_republic,https://pleiades.stoa.org/places/265969,https://pleiades.stoa.org/places/265969,-330,300,0,False,settlement,38.692191,-2.694845
265970,Mentesa Bastia,pleiades,roman_republic,https://pleiades.stoa.org/places/265970,https://pleiades.stoa.org/places/265970,-330,640,0,False,settlement,37.741633,-3.692715
265973,Montoro-Andújar,pleiades,roman_republic,https://pleiades.stoa.org/places/265973,https://pleiades.stoa.org/places/265973,-330,300,0,False,mine-2,38.155628,-4.052078
265974,Monturque,pleiades,roman_republic,https://pleiades.stoa.org/places/265974,https://pleiades.stoa.org/places/265974,-30,1999,0,False,settlement,37.473348,-4.581713
265975,Morana,pleiades,roman_republic,https://pleiades.stoa.org/places/265975,https://pleiades.stoa.org/places/265975,-330,1453,0,False,settlement,37.350654,-4.601944
265977,Murgi,pleiades,roman_republic,https://pleiades.stoa.org/places/265977,https://pleiades.stoa.org/places/265977,-330,300,0,False,"settlement, amphitheatre",36.775074,-2.812733
265982,Obulco,pleiades,roman_republic,https://pleiades.stoa.org/places/265982,https://pleiades.stoa.org/places/265982,-330,2100,0,False,settlement,37.870867,-4.184754
265983,Ocules,pleiades,roman_republic,https://pleiades.stoa.org/places/265983,https://pleiades.stoa.org/places/265983,-30,2100,0,False,settlement,39.98188,-2.86232
265984,Olcades?,pleiades,roman_republic,https://pleiades.stoa.org/places/265984,https://pleiades.stoa.org/places/265984,-330,-30,0,False,"label, people",38.9942692509,-4.56211269532
265985,Onuba,pleiades,roman_republic,https://pleiades.stoa.org/places/265985,https://pleiades.stoa.org/places/265985,-330,300,0,False,settlement,37.953182,-4.496471
265987,*Opta,pleiades,roman_republic,https://pleiades.stoa.org/places/265987,https://pleiades.stoa.org/places/265987,-330,300,0,False,settlement,40.145946,-2.687313
265988,Oretana Iuga,pleiades,roman_republic,https://pleiades.stoa.org/places/265988,https://pleiades.stoa.org/places/265988,-30,300,0,False,"mountain, label",38.4682824958,-3.67323449125
265989,Oretania/Oretani,pleiades,roman_republic,https://pleiades.stoa.org/places/265989,https://pleiades.stoa.org/places/265989,-330,300,0,False,"region, label, people",38.6378190925,-3.68840355517
265990,Oretum,pleiades,roman_republic,https://pleiades.stoa.org/places/265990,https://pleiades.stoa.org/places/265990,-330,640,0,False,settlement,38.7606439,-3.7256823
265992,Orospeda (mountain),pleiades,roman_republic,https://pleiades.stoa.org/places/265992,https://pleiades.stoa.org/places/265992,-330,2100,0,False,mountain,38.1197989502,-2.6880383587
265994,Ossigi,pleiades,roman_republic,https://pleiades.stoa.org/places/265994,https://pleiades.stoa.org/places/265994,-30,640,0,False,settlement,37.848915,-3.560303
265996,Pago de Bruñel,pleiades,roman_republic,https://pleiades.stoa.org/places/265996,https://pleiades.stoa.org/places/265996,-30,640,0,False,villa,37.8853869595,-3.07913829564
265997,El Palacio,pleiades,roman_republic,https://pleiades.stoa.org/places/265997,https://pleiades.stoa.org/places/265997,-30,640,0,False,villa,39.389921,-3.210143
265998,Palma,pleiades,roman_republic,https://pleiades.stoa.org/places/265998,https://pleiades.stoa.org/places/265998,-330,640,0,False,settlement,39.569443,2.649993
265999,Parietinae,pleiades,roman_republic,https://pleiades.stoa.org/places/265999,https://pleiades.stoa.org/places/265999,-330,300,0,False,station,38.962484,-2.008396
266000,Paulenca,pleiades,roman_republic,https://pleiades.stoa.org/places/266000,https://pleiades.stoa.org/places/266000,-30,640,0,False,villa,37.293649,-3.168573
266001,Pityussae (islands),pleiades,roman_republic,https://pleiades.stoa.org/places/266001,https://pleiades.stoa.org/places/266001,-750,2099,0,False,archipelago,38.8343975382,1.43818829136
266002,Planesia (island),pleiades,roman_republic,https://pleiades.stoa.org/places/266002,https://pleiades.stoa.org/places/266002,-330,2100,0,False,"island, label",38.7552068213,0.229848655964
266003,Plaza de Armas,pleiades,roman_republic,https://pleiades.stoa.org/places/266003,https://pleiades.stoa.org/places/266003,-330,300,0,False,settlement,37.56834,-4.471493
266004,Pollentia,pleiades,roman_republic,https://pleiades.stoa.org/places/266004,https://pleiades.stoa.org/places/266004,-330,640,0,False,settlement,39.8485931402,3.12305890133
266005,Portos Magnos,pleiades,roman_republic,https://pleiades.stoa.org/places/266005,https://pleiades.stoa.org/places/266005,-30,300,0,False,settlement,36.840205,-2.467902
266008,Puente del Obispo,pleiades,roman_republic,https://pleiades.stoa.org/places/266008,https://pleiades.stoa.org/places/266008,-330,300,0,False,mine-2,37.95069,-3.540398
266009,Puente de la Olmilla,pleiades,roman_republic,https://pleiades.stoa.org/places/266009,https://pleiades.stoa.org/places/266009,-30,640,0,False,villa,38.618079,-2.806268
266010,Pujol de Benicató,pleiades,roman_republic,https://pleiades.stoa.org/places/266010,https://pleiades.stoa.org/places/266010,-30,640,0,False,villa,39.8329431,-0.14602
266012,Río Golopón,pleiades,roman_republic,https://pleiades.stoa.org/places/266012,https://pleiades.stoa.org/places/266012,-330,300,0,False,mine-2,37.431584,-2.686169
266013,Rojales,pleiades,roman_republic,https://pleiades.stoa.org/places/266013,https://pleiades.stoa.org/places/266013,-330,300,0,False,settlement,38.088325,-0.724242
266014,Rubielos de Mora,pleiades,roman_republic,https://pleiades.stoa.org/places/266014,https://pleiades.stoa.org/places/266014,-30,300,0,False,settlement,40.189944,-0.651476
266015,El Ruedo,pleiades,roman_republic,https://pleiades.stoa.org/places/266015,https://pleiades.stoa.org/places/266015,-30,2099,0,False,villa,37.4430896,-4.0896184
266017,Sacili,pleiades,roman_republic,https://pleiades.stoa.org/places/266017,https://pleiades.stoa.org/places/266017,-330,300,0,False,settlement,38.005797,-4.50716
266018,Saetabis,pleiades,roman_republic,https://pleiades.stoa.org/places/266018,https://pleiades.stoa.org/places/266018,-330,2099,0,False,"settlement, settlement-modern",38.98846075,-0.51780685
266019,Saetabis (river),pleiades,roman_republic,https://pleiades.stoa.org/places/266019,https://pleiades.stoa.org/places/266019,-30,2099,0,False,river,38.9547800764,-0.499146826408
266020,Sagunto,pleiades,roman_republic,https://pleiades.stoa.org/places/266020,https://pleiades.stoa.org/places/266020,-30,640,0,False,villa,39.680194,-0.278581
266021,Saguntum/Arse,pleiades,roman_republic,https://pleiades.stoa.org/places/266021,https://pleiades.stoa.org/places/266021,-550,640,0,False,settlement,39.678125,-0.2772475
266022,Salaria?,pleiades,roman_republic,https://pleiades.stoa.org/places/266022,https://pleiades.stoa.org/places/266022,-330,2100,0,False,settlement,38.008075,-3.368532
266023,Salika?,pleiades,roman_republic,https://pleiades.stoa.org/places/266023,https://pleiades.stoa.org/places/266023,-30,300,0,False,settlement,38.866536,-1.920214
266025,Saltigi,pleiades,roman_republic,https://pleiades.stoa.org/places/266025,https://pleiades.stoa.org/places/266025,-330,640,0,False,settlement,38.918645,-1.722773
266026,Sanisera,pleiades,roman_republic,https://pleiades.stoa.org/places/266026,https://pleiades.stoa.org/places/266026,-330,640,0,False,"settlement, port",40.071126,4.087751
266029,S. Tomé,pleiades,roman_republic,https://pleiades.stoa.org/places/266029,https://pleiades.stoa.org/places/266029,-30,300,0,False,settlement,38.028219,-3.10185
266030,Saturni/Scombraria (promontory),pleiades,roman_republic,https://pleiades.stoa.org/places/266030,https://pleiades.stoa.org/places/266030,-30,2100,0,False,cape,37.63479,-0.6904232
266032,Scombraria (island),pleiades,roman_republic,https://pleiades.stoa.org/places/266032,https://pleiades.stoa.org/places/266032,-330,2100,0,False,island,37.5593321297,-0.969238213357
266034,Sebelaci,pleiades,roman_republic,https://pleiades.stoa.org/places/266034,https://pleiades.stoa.org/places/266034,-330,640,0,False,settlement,39.959582,-0.138097
266035,Segisa?,pleiades,roman_republic,https://pleiades.stoa.org/places/266035,https://pleiades.stoa.org/places/266035,-330,300,0,False,settlement,38.239102,-1.418729
266036,Segobriga,pleiades,roman_republic,https://pleiades.stoa.org/places/266036,https://pleiades.stoa.org/places/266036,-330,2100,0,False,settlement,39.885321,-2.81302
266037,Selambina,pleiades,roman_republic,https://pleiades.stoa.org/places/266037,https://pleiades.stoa.org/places/266037,-30,300,0,False,settlement,36.74623,-3.587137
266038,Sexi/Saxetanum,pleiades,roman_republic,https://pleiades.stoa.org/places/266038,https://pleiades.stoa.org/places/266038,-750,2100,0,False,"settlement, port",36.734589,-3.690755
266039,Sierra de Gádor,pleiades,roman_republic,https://pleiades.stoa.org/places/266039,https://pleiades.stoa.org/places/266039,-330,300,0,False,mine-2,36.835734,-2.762919
266040,Sierra Elvira,pleiades,roman_republic,https://pleiades.stoa.org/places/266040,https://pleiades.stoa.org/places/266040,-330,300,0,False,quarry,37.228764,-3.726138
266043,Sisapo,pleiades,roman_republic,https://pleiades.stoa.org/places/266043,https://pleiades.stoa.org/places/266043,-330,640,0,False,"settlement, amphitheatre, archaeological-site",38.6459858179,-4.51791475363
266044,El Solao,pleiades,roman_republic,https://pleiades.stoa.org/places/266044,https://pleiades.stoa.org/places/266044,-30,640,0,False,villa,39.960815,-4.192941
266046,Solorius (mountain),pleiades,roman_republic,https://pleiades.stoa.org/places/266046,https://pleiades.stoa.org/places/266046,-330,640,0,False,mountain,37.072238421,-3.16462269855
266047,Sorobis (river),pleiades,roman_republic,https://pleiades.stoa.org/places/266047,https://pleiades.stoa.org/places/266047,-30,2100,0,False,river,38.9052175572,-0.225519688343
266048,*Sosontigi,pleiades,roman_republic,https://pleiades.stoa.org/places/266048,https://pleiades.stoa.org/places/266048,-30,2100,0,False,settlement,37.591059,-4.086746
266050,Spartarius? Campus,pleiades,roman_republic,https://pleiades.stoa.org/places/266050,https://pleiades.stoa.org/places/266050,-30,300,0,False,"region, label",37.7339213429,-1.26313792497
266051,(S)Ucia,pleiades,roman_republic,https://pleiades.stoa.org/places/266051,https://pleiades.stoa.org/places/266051,-330,640,0,False,settlement,38.074265,-4.186553
266052,Sucro,pleiades,roman_republic,https://pleiades.stoa.org/places/266052,https://pleiades.stoa.org/places/266052,-330,300,0,False,settlement,39.150204,-0.43809
266053,Sucro (river),pleiades,roman_republic,https://pleiades.stoa.org/places/266053,https://pleiades.stoa.org/places/266053,-330,2100,0,False,river,39.5090069363,-1.55889436125
266054,Sucronensis Sinus,pleiades,roman_republic,https://pleiades.stoa.org/places/266054,https://pleiades.stoa.org/places/266054,-30,2099,0,False,water-open,39.45,-0.1833333
266055,Suel,pleiades,roman_republic,https://pleiades.stoa.org/places/266055,https://pleiades.stoa.org/places/266055,-750,640,0,False,settlement,36.525435,-4.628919
266057,Tader (river),pleiades,roman_republic,https://pleiades.stoa.org/places/266057,https://pleiades.stoa.org/places/266057,-30,2100,0,False,river,38.2226639921,-1.69194429284
266058,*Tagili,pleiades,roman_republic,https://pleiades.stoa.org/places/266058,https://pleiades.stoa.org/places/266058,-330,300,0,False,settlement,37.345474,-2.439482
266059,Tagonios (river),pleiades,roman_republic,https://pleiades.stoa.org/places/266059,https://pleiades.stoa.org/places/266059,-330,2100,0,False,river,40.6763365642,-2.81588531026
266061,Las Tamujas,pleiades,roman_republic,https://pleiades.stoa.org/places/266061,https://pleiades.stoa.org/places/266061,-330,640,0,False,villa,39.893965,-4.546133
266063,Thiar,pleiades,roman_republic,https://pleiades.stoa.org/places/266063,https://pleiades.stoa.org/places/266063,-330,640,0,False,settlement,37.878103,-0.765831
266065,Fábrica de Armas,pleiades,roman_republic,https://pleiades.stoa.org/places/266065,https://pleiades.stoa.org/places/266065,-30,640,0,False,villa,39.982154,-4.126973
266066,Toletum,pleiades,roman_republic,https://pleiades.stoa.org/places/266066,https://pleiades.stoa.org/places/266066,-330,2100,0,False,settlement,39.85668,-4.024491
266067,Torre de la Cruz,pleiades,roman_republic,https://pleiades.stoa.org/places/266067,https://pleiades.stoa.org/places/266067,-30,640,0,False,villa,38.508037,-0.232796
266068,Los Torrejones,pleiades,roman_republic,https://pleiades.stoa.org/places/266068,https://pleiades.stoa.org/places/266068,-30,640,0,False,villa,38.604818,-1.112048
266069,Totana,pleiades,roman_republic,https://pleiades.stoa.org/places/266069,https://pleiades.stoa.org/places/266069,-330,300,0,False,settlement,37.771263,-1.501013
266070,Tucci/Col. Augusta Gemella,pleiades,roman_republic,https://pleiades.stoa.org/places/266070,https://pleiades.stoa.org/places/266070,-330,2100,0,False,settlement,37.722761,-3.966243
266071,*Tuci?,pleiades,roman_republic,https://pleiades.stoa.org/places/266071,https://pleiades.stoa.org/places/266071,-30,640,0,False,settlement,39.568749,3.21062
266072,Tugia,pleiades,roman_republic,https://pleiades.stoa.org/places/266072,https://pleiades.stoa.org/places/266072,-550,640,0,False,settlement,37.877689,-3.152365
266073,Tugiensis Saltus,pleiades,roman_republic,https://pleiades.stoa.org/places/266073,https://pleiades.stoa.org/places/266073,-330,2099,0,False,"mountain, label",38.0816371391,-2.86613113277
266074,Turaniana,pleiades,roman_republic,https://pleiades.stoa.org/places/266074,https://pleiades.stoa.org/places/266074,-30,640,0,False,"settlement, station",36.7920128,-2.587019
266075,Turdetania (region),pleiades,roman_republic,https://pleiades.stoa.org/places/266075,https://pleiades.stoa.org/places/266075,-330,640,0,False,"region, valley, label",37.4703045,-5.6464685
266076,Turia (river),pleiades,roman_republic,https://pleiades.stoa.org/places/266076,https://pleiades.stoa.org/places/266076,-330,2100,0,False,river,40.3932837872,-1.7275086106
266078,*Tutugi,pleiades,roman_republic,https://pleiades.stoa.org/places/266078,https://pleiades.stoa.org/places/266078,-750,640,0,False,settlement,37.742896,-2.551194
266081,Ucubi/Col. Claritas Iulia,pleiades,roman_republic,https://pleiades.stoa.org/places/266081,https://pleiades.stoa.org/places/266081,-330,300,0,False,settlement,37.682102,-4.552369
266082,Udiva? (river),pleiades,roman_republic,https://pleiades.stoa.org/places/266082,https://pleiades.stoa.org/places/266082,-30,2099,0,False,river,39.7164799758,-0.321384314632
266085,El Chuche (settlement),pleiades,roman_republic,https://pleiades.stoa.org/places/266085,https://pleiades.stoa.org/places/266085,-330,2099,0,False,"settlement, archaeological-site, hill",36.913113,-2.452156
266086,Urcitanus Sinus,pleiades,roman_republic,https://pleiades.stoa.org/places/266086,https://pleiades.stoa.org/places/266086,-30,2100,0,False,water-open,36.76667,-2.5
266087,Urgao/Vircao,pleiades,roman_republic,https://pleiades.stoa.org/places/266087,https://pleiades.stoa.org/places/266087,-330,2100,0,False,settlement,37.93645,-4.054925
266090,Valentia,pleiades,roman_republic,https://pleiades.stoa.org/places/266090,https://pleiades.stoa.org/places/266090,-330,1599,0,False,"settlement, port",39.470371,-0.376813
266091,La Valenzoleja,pleiades,roman_republic,https://pleiades.stoa.org/places/266091,https://pleiades.stoa.org/places/266091,-30,640,0,False,villa,37.932152,-4.673019
266092,Valeria,pleiades,roman_republic,https://pleiades.stoa.org/places/266092,https://pleiades.stoa.org/places/266092,-330,640,0,False,settlement,39.811189,-2.1493505
266093,Vergilia,pleiades,roman_republic,https://pleiades.stoa.org/places/266093,https://pleiades.stoa.org/places/266093,-30,640,0,False,settlement,37.626929,-3.538666
266094,Vicus Cuminarius,pleiades,roman_republic,https://pleiades.stoa.org/places/266094,https://pleiades.stoa.org/places/266094,-30,640,0,False,settlement,39.960387,-3.499679
266095,El Villar,pleiades,roman_republic,https://pleiades.stoa.org/places/266095,https://pleiades.stoa.org/places/266095,-30,640,0,False,villa,39.590148,-0.302075
266096,Villarrodrigo,pleiades,roman_republic,https://pleiades.stoa.org/places/266096,https://pleiades.stoa.org/places/266096,-30,300,0,False,settlement,38.48772,-2.636366
266097,Viniolae?,pleiades,roman_republic,https://pleiades.stoa.org/places/266097,https://pleiades.stoa.org/places/266097,-30,640,0,False,station,37.6282633,-3.5380913
266099,Vi(v)atia,pleiades,roman_republic,https://pleiades.stoa.org/places/266099,https://pleiades.stoa.org/places/266099,-30,2100,0,False,"settlement, settlement-modern",37.9945171,-3.4708163
266517,Untitled,pleiades,roman_republic,https://pleiades.stoa.org/places/266517,https://pleiades.stoa.org/places/266517,-30,640,0,False,aqueduct,39.5,-4.5
266518,Untitled,pleiades,roman_republic,https://pleiades.stoa.org/places/266518,https://pleiades.stoa.org/places/266518,-30,640,0,False,aqueduct,39.460299,-3.606772
266519,Untitled,pleiades,roman_republic,https://pleiades.stoa.org/places/266519,https://pleiades.stoa.org/places/266519,-30,640,0,False,aqueduct,37.5,-3.5
266520,Torrecuevas aqueduct,pleiades,roman_republic,https://pleiades.stoa.org/places/266520,https://pleiades.stoa.org/places/266520,-30,640,0,False,aqueduct,36.762144,-3.689824
266521,Untitled,pleiades,roman_republic,https://pleiades.stoa.org/places/266521,https://pleiades.stoa.org/places/266521,-30,640,0,False,aqueduct,39.8882167139,-2.81267426411
266522,Untitled,pleiades,roman_republic,https://pleiades.stoa.org/places/266522,https://pleiades.stoa.org/places/266522,-30,640,0,False,aqueduct,36.5,-2.5
266523,Untitled,pleiades,roman_republic,https://pleiades.stoa.org/places/266523,https://pleiades.stoa.org/places/266523,-30,640,0,False,aqueduct,39.74946645,-0.96807105
